"kind","geom","name","cx_pt","cy_pt","w_pt","h_pt","rot","text"
"sp","roundRect","사각형: 둥근 모서리 599","471.04","128.16","70.87","70.87","270",""
"sp","ellipse","타원 648","463.58","112.31","34.64","34.64","0","C#2 3↘️"
"sp","ellipse","타원 649","454.97","145.48","34.64","34.64","0","C#3 1↗️"
"sp","ellipse","타원 650","488.93","136.72","34.64","34.64","0","C#1"
"sp","roundRect","사각형: 둥근 모서리 605","471.04","201.86","70.87","70.87","270",""
"sp","ellipse","타원 664","453.72","219.51","34.64","34.64","0","C#3 2→"
"sp","ellipse","타원 665","453.72","184.38","34.64","34.64","0","C#4 3↘️"
"sp","ellipse","타원 666","489.08","219.51","34.64","34.64","0","C#1"
"sp","ellipse","타원 667","489.08","184.38","34.64","34.64","0","C#2 5↓️"
"sp","roundRect","사각형: 둥근 모서리 611","471.04","275.57","70.87","70.87","270",""
"sp","ellipse","타원 668","451.46","294.42","25.93","25.93","0","C#4 1↗️"
"sp","ellipse","타원 670","490.99","294.42","25.93","25.93","0","C#1"
"sp","ellipse","타원 669","451.46","257.06","25.93","25.93","0","C#5 3↘️"
"sp","ellipse","타원 671","490.99","257.06","25.93","25.93","0","C#2"
"sp","ellipse","타원 672","471.02","275.57","25.93","25.93","0","C#3 2→"
"sp","roundRect","사각형: 둥근 모서리 617","470.76","349.27","70.87","70.87","270",""
"sp","ellipse","타원 675","479.38","371.04","22.68","22.68","0","C#2 1↗️"
"sp","ellipse","타원 678","479.38","327.49","22.68","22.68","0","C#33↘️"
"sp","ellipse","타원 681","456.09","371.04","22.68","22.68","0","C#5 1↗️"
"sp","ellipse","타원 682","456.09","327.49","22.68","22.68","0","C#63↘️"
"sp","ellipse","타원 133","466.25","349.19","22.68","22.68","0","C#42→"
"sp","ellipse","타원 134","489.9","349.19","22.68","22.68","0","C#1"
"sp","ellipse","타원 136","471.04","438.4","22.68","22.68","0","C#4 1↗️"
"sp","ellipse","타원 137","471.04","407.54","22.68","22.68","0","C#5 3↘️"
"sp","ellipse","타원 135","453.83","422.97","22.68","22.68","0","C#6 2→"
"sp","ellipse","타원 138","488.25","422.97","22.68","22.68","0","C#3 2→"
"sp","ellipse","타원 140","448.96","400.96","22.68","22.68","0","C#8 3↘️"
"sp","ellipse","타원 141","493.05","400.29","22.68","22.68","0","C#2"
"sp","ellipse","타원 142","448.96","445.68","22.68","22.68","0","C#7 1↗️"
"sp","ellipse","타원 143","493.05","445.01","22.68","22.68","0","C#1"
"sp","ellipse","타원 151","448.43","473.39","22.68","22.68","0","C#9 3↘️ ️"
"sp","ellipse","타원 152","493.93","473.39","22.68","22.68","0","C#3 5↓️ ️"
"sp","ellipse","타원 155","471.18","473.39","22.68","22.68","0","C#6 3↘️ ️"
"sp","ellipse","타원 157","448.43","496.67","22.68","22.68","0","C#8 3↘️ ️"
"sp","ellipse","타원 158","493.93","496.67","22.68","22.68","0","C#2 5↓️"
"sp","ellipse","타원 159","471.18","496.67","22.68","22.68","0","C#5 3↘️"
"sp","ellipse","타원 161","448.43","519.96","22.68","22.68","0","C#7 2→️ ️"
"sp","ellipse","타원 162","493.93","519.96","22.68","22.68","0","C#1"
"sp","ellipse","타원 163","471.18","519.96","22.68","22.68","0","C#4 2→️"
"graphicFrame","","표 129","254.08","216.75","57.09","51.44","0","3↘️ 5↓️ ↙️8 2→ ←️7 1↗️ 4↑ 6↖️"
"graphicFrame","","표 129","158.09","216.26","57.09","51.44","0","3↘️ 5↓️ ↙️8 2→ ←️7 1↗️ 4↑ 6↖️"
"graphicFrame","","표 178","848.09","44.35","150.22","28.8","0","구분 순서 입고 (OP) 2    1(p6)"
"sp","roundRect","사각형: 둥근 모서리 180","733.63","54.64","70.87","70.87","270",""
"sp","ellipse","타원 182","748.12","69.38","37.82","37.82","0","C#1 6↖️"
"sp","ellipse","타원 183","719.15","39.9","37.82","37.82","0","C#2"
"sp","rect","TextBox 184","847.17","23.01","147.33","8.48","0","Pattern 2 (814 ~ 937)"
"graphicFrame","","표 185","848.09","126.32","150.22","43.2","0","구분 순서 입고 (OP) 3    2(p8)   1 (p6) 입고 (OP) 2(p8)   1 (p6)"
"sp","rect","TextBox 186","847.17","97.78","147.33","8.48","0","Pattern 3 (756 ~ 813)"
"graphicFrame","","표 187","848.09","193.39","150.22","28.8","0","구분 순서 입고 (OP) 4   3 (45)   2 (p7)   1 ( p6 )"
"sp","rect","TextBox 188","847.17","172.05","147.33","8.48","0","Pattern 4 (663 ~ 755)"
"graphicFrame","","표 189","848.09","277.46","150.22","50.4","0","구분 순서 입고 (OP) 5  4    3(p7)   2 ( p8 )   1 ( p6 )"
"sp","rect","TextBox 190","847.17","245.32","147.33","8.48","0","Pattern 5 (601 ~ 622)"
"graphicFrame","","표 191","848.09","344.03","150.22","36","0","구분 순서 입고 (OP) 6   5    4(p7)   3 ( p8 )   2 ( p6 )    1(7)"
"sp","rect","TextBox 192","847.17","319.09","147.33","8.48","0","Pattern 6 (546 ~ 600)"
"sp","roundRect","사각형: 둥근 모서리 193","733.63","423.15","70.87","70.87","0",""
"graphicFrame","","표 194","848.09","417.3","150.22","36","0","구분 순서 입고 (OP) 8   7  6 (p7)   5 ( p8 )   4 ( p6 )   3 ( p7 )   2 ( p8 )   1 ( p6 )"
"sp","rect","TextBox 195","847.17","392.36","147.33","8.48","0","Pattern 8 (521 ~ 545)"
"sp","roundRect","사각형: 둥근 모서리 196","733.63","496.86","70.87","70.87","0",""
"graphicFrame","","표 197","848.09","494.17","150.22","43.2","0","구분 순서 입고 (OP) 9   8 ( p4 )   7 ( p4 )   6 ( p7 )   5 ( p6 )   4 ( p6 )   3 (p7)   2 ( p6 )   1 ( p6 )"
"sp","rect","TextBox 198","847.17","465.63","147.33","8.48","0","Pattern 9 (~520)"
"sp","roundRect","사각형: 둥근 모서리 200","733.63","128.34","70.87","70.87","270",""
"sp","ellipse","타원 201","726.18","112.49","34.64","34.64","0","C#2 ↙️8"
"sp","ellipse","타원 202","717.56","145.66","34.64","34.64","0","C#3"
"sp","ellipse","타원 203","751.52","136.9","34.64","34.64","0","C#1 6↖️"
"sp","roundRect","사각형: 둥근 모서리 205","733.63","202.05","70.87","70.87","270",""
"sp","ellipse","타원 206","716.32","219.69","34.64","34.64","0","C#3 4↑️"
"sp","ellipse","타원 207","716.32","184.56","34.64","34.64","0","C#4  ️"
"sp","ellipse","타원 208","751.67","219.69","34.64","34.64","0","C#1 6↖️"
"sp","ellipse","타원 209","751.67","184.56","34.64","34.64","0","C#2 ←️7"
"sp","roundRect","사각형: 둥근 모서리 210","733.63","275.75","70.87","70.87","270",""
"sp","ellipse","타원 211","714.06","294.61","25.93","25.93","0","C#4"
"sp","ellipse","타원 212","753.58","294.61","25.93","25.93","0","C#1 6↖️"
"sp","ellipse","타원 213","714.06","257.24","25.93","25.93","0","C#5"
"sp","ellipse","타원 214","753.58","257.24","25.93","25.93","0","C#2 ↙️8"
"sp","ellipse","타원 215","733.62","275.75","25.93","25.93","0","C#3 ←️7"
"sp","roundRect","사각형: 둥근 모서리 216","733.36","349.45","70.87","70.87","270",""
"sp","ellipse","타원 217","741.98","371.22","22.68","22.68","0","C#2  6↖️"
"sp","ellipse","타원 218","741.98","327.67","22.68","22.68","0","C#3 ↙️8"
"sp","ellipse","타원 219","718.68","371.22","22.68","22.68","0","C#5"
"sp","ellipse","타원 220","718.68","327.67","22.68","22.68","0","C#6️"
"sp","ellipse","타원 221","728.85","349.37","22.68","22.68","0","C#4 ←️7"
"sp","ellipse","타원 222","752.5","349.37","22.68","22.68","0","C#1 ←️7"
"sp","ellipse","타원 224","733.63","438.59","22.68","22.68","0","C#4 6↖️"
"sp","ellipse","타원 225","733.63","407.72","22.68","22.68","0","C#5 ↙️8"
"sp","ellipse","타원 227","716.43","423.15","22.68","22.68","0","C#6 ←️7"
"sp","ellipse","타원 228","750.84","423.15","22.68","22.68","0","C#3 ←️7"
"sp","ellipse","타원 229","711.56","401.14","22.68","22.68","0","C#8"
"sp","ellipse","타원 230","755.65","400.48","22.68","22.68","0","C#2 ↙️8"
"sp","ellipse","타원 231","711.56","445.86","22.68","22.68","0","C#7"
"sp","ellipse","타원 232","755.65","445.19","22.68","22.68","0","C#1 6↖️"
"sp","ellipse","타원 243","711.02","473.57","22.68","22.68","0","C#9"
"sp","ellipse","타원 244","756.52","473.57","22.68","22.68","0","C#3 ←️7"
"sp","ellipse","타원 245","733.77","473.57","22.68","22.68","0","C#6 ←️7"
"sp","ellipse","타원 240","711.02","496.86","22.68","22.68","0","C#8 4 ↑ ️ ️"
"sp","ellipse","타원 241","756.52","496.86","22.68","22.68","0","C#2 6↖️"
"sp","ellipse","타원 242","733.77","496.86","22.68","22.68","0","C#5 6↖️"
"sp","ellipse","타원 237","711.02","520.14","22.68","22.68","0","C#7 4 ↑ ️"
"sp","ellipse","타원 238","756.52","520.14","22.68","22.68","0","C#1  ️ 6↖️"
"sp","ellipse","타원 239","733.77","520.14","22.68","22.68","0","C#4  ️ 6↖️"
"sp","rect","직사각형 246","814.98","273.85","242.64","516.98","0",""
"sp","rect","TextBox 247","755.7","9.56","123.32","10.91","0","Palletizing Pattern (OP  입고 )"
"sp","rect","TextBox 254","196.29","310.22","48.85","10.91","0","Drag-in Dir"
"graphicFrame","","표 129","200.86","345.47","57.09","51.44","0","3↘️ 5↓️ ↙️8 2→ ←️7 1↗️ 4↑ 6↖️"
"sp","rect","TextBox 256","284.79","310.44","56.93","10.91","0","Drag-Out Dir"
"graphicFrame","","표 129","285.32","345.7","57.09","51.44","0","3↖️ 5↑️ ↗️8 2←️ →7 1↙️ 4↓️ ↘️6"
"sp","rect","직사각형 258","200.71","345.81","67.34","83.46","0",""
"sp","rect","TextBox 248","218.95","375.85","20.45","8.48","0","@Pick"
"sp","rect","TextBox 249","301.93","375.7","23.86","8.48","0","@Drop"
"sp","rect","직사각형 251","284.79","346.48","64.92","83.29","0",""
"sp","plus","십자형 252","284.79","346.12","56.11","56.11","45",""
"sp","rect","TextBox 12","397.94","126.41","41.55","13.33","0","zero point"
"sp","halfFrame","1/2 액자 11","387.25","125.83","4.67","4.67","0",""
