"kind","geom","name","cx_pt","cy_pt","w_pt","h_pt","rot","text"
"sp","rect","직사각형 6","217.15","229.29","373.6","141.37","0",""
"sp","rect","TextBox 13","380.04","286.93","10.73","12.12","0","X-"
"sp","rect","TextBox 16","47.04","286.93","13.88","12.12","0","X+"
"cxnSp","straightConnector1","직선 화살표 연결선 17","214.33","286.93","320.69","0","0",""
"cxnSp","straightConnector1","직선 화살표 연결선 18","394.75","232.95","0","81.16","0",""
"sp","rect","TextBox 19","394.75","186.31","13.51","12.12","0","Y+"
"sp","rect","TextBox 20","394.75","279.59","10.35","12.12","0","Y-"
"sp","rect","직사각형 100","107.96","227.2","100.3","135.91","270",""
"sp","roundRect","사각형: 둥근 모서리 106","48.86","227.2","11.37","91.84","0",""
"sp","rect","TextBox 107","48.86","189.56","12.75","14.54","0","GR1 (OP)"
"sp","roundRect","사각형: 둥근 모서리 105","45.18","228.16","7.37","7.37","270",""
"pic","rect","그림 124","90.98","373.63","119.65","107.75","0",""
"sp","rect","TextBox 38","83.61","171.6","87.22","10.91","0","외부입고  : 117 Stack"
"sp","rect","TextBox 41","79.1","313.15","98.96","10.91","0","Palletizing Pattern size"
"sp","rect","TextBox 42","128.37","422.46","42.16","7.27","0","1600Wx1600D"
"sp","rect","TextBox 58","119.41","9.25","177.21","10.91","0","출하 1,2,3 Zone Gantry Robot Cell Layout"
"sp","rect","직사각형 51","95.83","186.95","9.79","10.24","180",""
"sp","flowChartSummingJunction","순서도: 가산 접합 251","95.83","186.95","7.65","7.65","0",""
"sp","rect","직사각형 253","145.46","186.94","9.79","10.24","180",""
"sp","flowChartSummingJunction","순서도: 가산 접합 254","145.46","186.94","7.65","7.65","0",""
"graphicFrame","","표 129","89.35","229.05","57.09","51.44","0","3↘️ 5↓️ ↙️8 2→ ←️7 1↗️ 4↑ 6↖️"
"sp","rect","TextBox 490","764.79","9.56","141.49","10.91","0","Palletizing Pattern (OP  외부입고 )"
"pic","rect","내용 개체 틀 4","121","80.38","177.21","123.18","0",""
"sp","rect","직사각형 333","814.98","273.85","242.64","516.98","0",""
"sp","roundRect","사각형: 둥근 모서리 334","733.36","54.64","70.87","70.87","180",""
"sp","ellipse","타원 335","718.87","39.9","37.82","37.82","180","C#1"
"sp","ellipse","타원 336","747.84","69.38","37.82","37.82","180","C#2 6↖️"
"sp","roundRect","사각형: 둥근 모서리 337","733.36","128.34","70.87","70.87","180",""
"sp","ellipse","타원 338","740.81","144.19","34.64","34.64","180","C#2 6↖️"
"sp","ellipse","타원 339","749.43","111.02","34.64","34.64","180","C#3 ←️7"
"sp","ellipse","타원 340","715.47","119.79","34.64","34.64","180","C#1"
"sp","roundRect","사각형: 둥근 모서리 341","733.36","202.05","70.87","70.87","180",""
"sp","ellipse","타원 342","750.67","184.4","34.64","34.64","180","C#3 ←️7"
"sp","ellipse","타원 343","750.67","219.53","34.64","34.64","180","C#4 6↖️"
"sp","ellipse","타원 344","715.32","184.4","34.64","34.64","180","C#1"
"sp","ellipse","타원 345","715.32","219.53","34.64","34.64","180","C#2 4↑"
"sp","roundRect","사각형: 둥근 모서리 346","733.36","275.75","70.87","70.87","180",""
"sp","ellipse","타원 347","752.93","256.89","25.93","25.93","180","C#4 ←️7"
"sp","ellipse","타원 348","713.41","256.89","25.93","25.93","180","C#1"
"sp","ellipse","타원 349","752.93","294.25","25.93","25.93","180","C#5 6↖️"
"sp","ellipse","타원 350","713.41","294.25","25.93","25.93","180","C#2 4↑"
"sp","ellipse","타원 351","733.37","275.75","25.93","25.93","180","C#3 ←️7"
"sp","roundRect","사각형: 둥근 모서리 352","733.63","349.45","70.87","70.87","180",""
"sp","ellipse","타원 353","725.01","327.68","22.68","22.68","180","C#2  ←️7"
"sp","ellipse","타원 354","725.01","371.23","22.68","22.68","180","C#3 4↑"
"sp","ellipse","타원 355","748.31","327.68","22.68","22.68","180","C#5 ←️7"
"sp","ellipse","타원 356","748.31","371.23","22.68","22.68","180","C#6️ 6↖️"
"sp","ellipse","타원 357","738.14","349.53","22.68","22.68","180","C#4 ←️7"
"sp","ellipse","타원 358","714.49","349.53","22.68","22.68","180","C#1"
"sp","roundRect","사각형: 둥근 모서리 359","733.36","423.15","70.87","70.87","180",""
"sp","ellipse","타원 361","733.36","438.59","22.68","22.68","0","C#5 ←️7"
"sp","ellipse","타원 362","733.36","407.72","22.68","22.68","0","C#4 ←️7"
"sp","ellipse","타원 364","716.15","423.15","22.68","22.68","0","C#3 ←️7"
"sp","ellipse","타원 365","750.56","423.15","22.68","22.68","0","C#6 ←️7"
"sp","ellipse","타원 366","755.43","445.16","22.68","22.68","180","C#8 6↖️"
"sp","ellipse","타원 367","711.34","445.83","22.68","22.68","180","C#2"
"sp","ellipse","타원 368","755.43","400.45","22.68","22.68","180","C#7 ←️7"
"sp","ellipse","타원 369","711.34","401.12","22.68","22.68","180","C#1"
"sp","roundRect","사각형: 둥근 모서리 370","733.36","496.86","70.87","70.87","180",""
"sp","ellipse","타원 371","755.97","520.14","22.68","22.68","0","C#9 6️↖️"
"sp","ellipse","타원 372","710.47","520.14","22.68","22.68","0","C#3 4↑"
"sp","ellipse","타원 373","733.22","520.14","22.68","22.68","0","C#6 6↖️"
"sp","ellipse","타원 374","755.97","496.86","22.68","22.68","0","C#8 6↖️"
"sp","ellipse","타원 375","710.47","496.86","22.68","22.68","0","C#2 4↑"
"sp","ellipse","타원 376","733.22","496.86","22.68","22.68","0","C#5 6↖️"
"sp","ellipse","타원 377","755.97","473.57","22.68","22.68","0","C#7 ←️7"
"sp","ellipse","타원 378","710.47","473.57","22.68","22.68","0","C#1"
"sp","ellipse","타원 379","733.22","473.57","22.68","22.68","0","C#4  ️ ←️7"
"graphicFrame","","표 394","848.09","44.35","150.22","28.8","0","구분 순서 외부입고 (OP) 1 → 2 (p6)"
"sp","rect","TextBox 395","847.17","23.01","147.33","8.48","0","Pattern 2 (814 ~ 937)"
"graphicFrame","","표 396","848.09","122.72","150.22","36","0","구분 순서 외부입고 (OP) 1 → 3 (p7)  → 2 (p6)"
"sp","rect","TextBox 397","847.17","97.78","147.33","8.48","0","Pattern 3 (756 ~ 813)"
"graphicFrame","","표 398","848.09","193.39","150.22","28.8","0","구분 순서 외부입고 (OP) 1  → 2(p4) →3(p7) → 4(p6)"
"sp","rect","TextBox 399","847.17","172.05","147.33","8.48","0","Pattern 4 (663 ~ 755)"
"graphicFrame","","표 400","848.09","270.26","150.22","36","0","구분 순서 외부입고 (OP) 1 → 2(p4) → 3(p7) → 4(p7) → 5(p6)"
"sp","rect","TextBox 401","847.17","245.32","147.33","8.48","0","Pattern 5 (601 ~ 622)"
"graphicFrame","","표 402","848.09","344.03","150.22","36","0","구분 순서 외부입고 (OP) 1 → 2(p7) → 3(p4) → 4(p7) → 5(p7) → 6(p6)"
"sp","rect","TextBox 403","847.17","319.09","147.33","8.48","0","Pattern 6 (546 ~ 600)"
"graphicFrame","","표 404","848.09","417.3","150.22","36","0","구분 순서 외부입고 (OP) 1 → 2 → 3(p7) → 4(p7) → 5(p7) → 6(p7) → 7(p7) → 8(p6)"
"sp","rect","TextBox 405","847.17","392.36","147.33","8.48","0","Pattern 8 (521 ~ 545)"
"graphicFrame","","표 406","848.09","494.17","150.22","43.2","0","구분 순서 외부입고 (OP) 1 → 2(p4) → 3(p4) → 4(p7) → 5(p6) → 6(p6) → 7(p7) → 8(p6) → 9(p6)"
"sp","rect","TextBox 407","847.17","465.63","147.33","8.48","0","Pattern 9 (~520)"
"sp","roundRect","사각형: 둥근 모서리 408","470.81","55.2","70.87","70.87","180",""
"sp","ellipse","타원 409","456.33","40.46","37.82","37.82","180","C#1"
"sp","ellipse","타원 410","485.3","69.94","37.82","37.82","180","C#2 6↘️"
"sp","roundRect","사각형: 둥근 모서리 411","470.81","128.9","70.87","70.87","180",""
"sp","ellipse","타원 412","478.27","144.75","34.64","34.64","180","C#2 6↘️"
"sp","ellipse","타원 413","486.89","111.58","34.64","34.64","180","C#3 →7"
"sp","ellipse","타원 414","452.93","120.35","34.64","34.64","180","C#1"
"sp","roundRect","사각형: 둥근 모서리 415","470.81","202.61","70.87","70.87","180",""
"sp","ellipse","타원 416","488.13","184.96","34.64","34.64","180","C#3 →7"
"sp","ellipse","타원 417","488.13","220.09","34.64","34.64","180","C#4 6↘️"
"sp","ellipse","타원 418","452.78","184.96","34.64","34.64","180","C#1"
"sp","ellipse","타원 419","452.78","220.09","34.64","34.64","180","C#2 4↓️"
"sp","roundRect","사각형: 둥근 모서리 420","470.81","276.31","70.87","70.87","180",""
"sp","ellipse","타원 491","490.39","257.45","25.93","25.93","180","C#4 →7"
"sp","ellipse","타원 492","450.86","257.45","25.93","25.93","180","C#1"
"sp","ellipse","타원 493","490.39","294.81","25.93","25.93","180","C#5 6↘️"
"sp","ellipse","타원 494","450.86","294.81","25.93","25.93","180","C#2 4↓️"
"sp","ellipse","타원 495","470.83","276.31","25.93","25.93","180","C#3 →7"
"sp","roundRect","사각형: 둥근 모서리 496","471.09","350.01","70.87","70.87","180",""
"sp","ellipse","타원 497","462.47","328.24","22.68","22.68","180","C#2  →7"
